日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,28,17,阴,东北风,2级,22.5,11
2019-09-02,29,18,阴,东南风,2级,23.5,11
2019-09-03,29,19,多云,东北风,3级,24.0,10
2019-09-04,24,18,阴,西南风,2级,21.0,6
2019-09-05,30,18,多云,东北风,2级,24.0,12
2019-09-06,32,20,晴,东北风,3级,26.0,12
2019-09-07,33,20,晴,东北风,2级,26.5,13
2019-09-08,33,22,晴,东南风,2级,27.5,11
2019-09-09,28,19,阴,东北风,2级,23.5,9
2019-09-10,23,20,阴,东北风,3级,21.5,3
2019-09-11,23,21,阴,东北风,4级,22.0,2
2019-09-12,24,16,阴,西南风,4级,20.0,8
2019-09-13,18,13,阴,西南风,3级,15.5,5
2019-09-14,14,13,阴,东北风,1级,13.5,1
2019-09-15,16,13,阴,西南风,2级,14.5,3
2019-09-16,21,16,阴,西北风,1级,18.5,5
2019-09-17,17,14,阴,西南风,2级,15.5,3
2019-09-18,19,15,小雨,东北风,2级,17.0,4
2019-09-19,17,14,阴,西南风,1级,15.5,3
2019-09-20,26,11,阴,东南风,2级,18.5,15
2019-09-21,26,12,晴,东北风,1级,19.0,14
2019-09-22,27,11,晴,东北风,1级,19.0,16
2019-09-23,26,14,多云,西北风,1级,20.0,12
2019-09-24,25,11,阴,西南风,1级,18.0,14
2019-09-26,27,14,晴,东北风,2级,20.5,13
2019-09-27,28,14,晴,东北风,2级,21.0,14
2019-09-28,29,15,晴,东北风,3级,22.0,14
2019-09-29,29,16,晴,东北风,1级,22.5,13
2019-08-02,31,24,阴,东北风,2级,27.5,7
2019-08-03,27,23,阴,东北风,4级,25.0,4
2019-08-04,33,23,多云,东北风,2级,28.0,10
2019-08-05,32,22,阴,东南风,1级,27.0,10
2019-08-06,24,21,阴,东南风,1级,22.5,3
2019-08-07,31,22,阴,东北风,2级,26.5,9
2019-08-08,31,22,阴,东南风,1级,26.5,9
2019-08-09,28,20,阴,东北风,2级,24.0,8
2019-08-10,35,22,晴,东北风,2级,28.5,13
2019-08-11,35,22,晴,东北风,2级,28.5,13
2019-08-12,35,23,晴,西南风,2级,29.0,12
2019-08-13,36,24,晴,东北风,1级,30.0,12
2019-08-14,35,24,晴,西南风,2级,29.5,11
2019-08-15,38,24,晴,东北风,2级,31.0,14
2019-08-16,37,23,晴,东北风,2级,30.0,14
2019-08-17,31,23,多云,东北风,2级,27.0,8
2019-08-18,35,26,晴,东北风,4级,30.5,9
2019-08-19,37,26,阴,东风,2级,31.5,11
2019-08-20,31,21,阴,西北风,3级,26.0,10
2019-08-21,27,21,阴,东北风,3级,24.0,6
2019-08-22,26,21,阴,东北风,2级,23.5,5
2019-08-23,28,22,阴,东北风,1级,25.0,6
2019-08-24,32,24,多云,东北风,1级,28.0,8
2019-08-25,29,24,多云,东北风,3级,26.5,5
2019-08-26,28,20,阴,西南风,3级,24.0,8
2019-08-27,24,20,阴,东南风,2级,22.0,4
2019-08-28,30,18,多云,西南风,3级,24.0,12
2019-08-29,33,17,晴,东北风,2级,25.0,16
2019-08-30,30,20,多云,东北风,1级,25.0,10
2019-08-31,25,19,阴,南风,2级,22.0,6
2019-07-01,34,20,多云,东北风,2级,27.0,14
2019-07-02,32,21,阴,西南风,2级,26.5,11
2019-07-03,33,21,阴,西南风,2级,27.0,12
2019-07-04,35,19,多云,东南风,3级,27.0,16
2019-07-05,36,20,晴,西南风,2级,28.0,16
2019-07-06,33,20,多云,西南风,2级,26.5,13
2019-07-07,34,21,多云,东南风,3级,27.5,13
2019-07-08,24,20,阴,东南风,1级,22.0,4
2019-07-09,28,19,阴,东南风,2级,23.5,9
2019-07-10,31,19,多云,东北风,2级,25.0,12
2019-07-11,32,21,多云,西南风,3级,26.5,11
2019-07-12,31,22,阴,东北风,2级,26.5,9
2019-07-13,35,21,晴,东北风,1级,28.0,14
2019-07-14,37,23,多云,东北风,3级,30.0,14
2019-07-15,34,25,多云,东南风,2级,29.5,9
2019-07-16,28,21,阴,东北风,3级,24.5,7
2019-07-17,22,21,阴,东北风,3级,21.5,1
2019-07-18,23,21,阴,西北风,1级,22.0,2
2019-07-19,28,21,阴,西南风,2级,24.5,7
2019-07-20,34,24,多云,东北风,3级,29.0,10
2019-07-21,33,24,多云,东北风,1级,28.5,9
2019-07-22,26,20,阴,西南风,1级,23.0,6
2019-07-23,35,22,阴,东南风,2级,28.5,13
2019-07-24,32,24,阴,东南风,1级,28.0,8
2019-07-25,37,25,多云,东北风,3级,31.0,12
2019-07-26,30,24,晴,东南风,4级,27.0,6
2019-07-27,38,27,多云,东北风,2级,32.5,11
2019-07-28,40,26,多云,东北风,3级,33.0,14
2019-07-29,28,22,阴,西北风,微风,25.0,6
2019-07-30,36,22,多云,东北风,2级,29.0,14
2019-07-31,37,25,晴,东北风,3级,31.0,12
2019-06-01,34,18,阴,西南风,2级,26.0,16
2019-06-02,37,19,晴,西南风,4级,28.0,18
2019-06-03,37,20,多云,东北风,1级,28.5,17
2019-06-04,37,18,阴,西南风,2级,27.5,19
2019-06-05,18,17,阴,西南风,2级,17.5,1
2019-06-06,29,16,阴,东北风,1级,22.5,13
2019-06-07,31,18,多云,西南风,2级,24.5,13
2019-06-08,33,20,阴,西南风,1级,26.5,13
2019-06-09,33,21,多云,西南风,2级,27.0,12
2019-06-10,37,24,多云,西南风,2级,30.5,13
2019-06-11,32,22,阴,东南风,2级,27.0,10
2019-06-14,36,21,阴,东南风,3级,28.5,15
2019-06-15,28,18,阴,西南风,2级,23.0,10
2019-06-16,31,24,多云,西南风,2级,27.5,7
2019-06-17,32,22,阴,东南风,2级,27.0,10
2019-06-18,32,25,多云,西南风,1级,28.5,7
2019-06-19,28,22,阴,东北风,3级,25.0,6
2019-06-20,20,19,阴,东北风,2级,19.5,1
2019-06-21,21,19,阴,东北风,1级,20.0,2
2019-06-22,26,18,阴,西南风,1级,22.0,8
2019-06-23,31,22,多云,东北风,2级,26.5,9
2019-06-24,24,19,阴,东北风,2级,21.5,5
2019-06-25,31,21,阴,东北风,3级,26.0,10
2019-06-26,32,22,多云,西南风,2级,27.0,10
2019-06-27,24,19,小雨,东北风,2级,21.5,5
2019-06-28,21,17,阴,东南风,2级,19.0,4
2019-06-29,26,19,多云,西南风,2级,22.5,7
2019-06-30,31,18,多云,东南风,2级,24.5,13
2019-05-01,21,15,多云,东北风,5级,18.0,6
2019-05-02,23,13,多云,东北风,2级,18.0,10
2019-05-03,21,14,阴,东北风,2级,17.5,7
2019-05-04,26,16,阴,东北风,1级,21.0,10
2019-05-05,26,11,阴,东南风,2级,18.5,15
2019-05-06,15,9,阴,东北风,2级,12.0,6
2019-05-07,14,10,阴,东北风,2级,12.0,4
2019-05-08,22,12,阴,西北风,2级,17.0,10
2019-05-09,24,10,阴,西南风,2级,17.0,14
2019-05-10,27,15,阴,西南风,2级,21.0,12
2019-05-11,30,13,阴,西南风,1级,21.5,17
2019-05-12,22,14,霾,西南风,2级,18.0,8
2019-05-13,25,14,扬沙,东北风,2级,19.5,11
2019-05-14,19,13,阴,西南风,2级,16.0,6
2019-05-15,29,14,阴,西南风,2级,21.5,15
2019-05-16,23,14,阴,西北风,1级,18.5,9
2019-05-17,28,18,晴,东北风,3级,23.0,10
2019-05-18,27,17,阴,西南风,3级,22.0,10
2019-05-19,25,13,阴,西北风,3级,19.0,12
2019-05-20,25,12,阴,西南风,2级,18.5,13
2019-05-21,31,14,阴,西南风,2级,22.5,17
2019-05-22,35,17,晴,东南风,2级,26.0,18
2019-05-24,35,20,阴,东北风,1级,27.5,15
2019-05-25,36,22,多云,东南风,1级,29.0,14
2019-05-26,34,18,多云,西北风,3级,26.0,16
2019-05-27,24,13,阴,西南风,3级,18.5,11
2019-05-28,14,11,阴,西北风,1级,12.5,3
2019-05-29,21,15,阴,西南风,2级,18.0,6
2019-05-30,30,17,阴,西南风,2级,23.5,13
2019-05-31,30,16,阴,东南风,2级,23.0,14
2019-04-01,22,10,阴,东北风,1级,16.0,12
2019-04-02,16,10,阴,西南风,1级,13.0,6
2019-04-03,22,10,阴,东北风,3级,16.0,12
2019-04-04,25,9,晴,西南风,3级,17.0,16
2019-04-05,30,13,晴,东南风,2级,21.5,17
2019-04-06,32,13,多云,西南风,2级,22.5,19
2019-04-07,29,16,多云,东北风,3级,22.5,13
2019-04-08,26,14,阴,东北风,5级,20.0,12
2019-04-09,19,9,阴,东北风,4级,14.0,10
2019-04-10,12,7,阴,西南风,1级,9.5,5
2019-04-11,22,10,多云,东北风,2级,16.0,12
2019-04-12,13,7,阴,东南风,2级,10.0,6
2019-04-13,16,10,阴,西南风,2级,13.0,6
2019-04-14,20,11,多云,东北风,3级,15.5,9
2019-04-15,24,10,阴,西南风,3级,17.0,14
2019-04-16,29,13,晴,东北风,2级,21.0,16
2019-04-17,27,17,晴,东北风,1级,22.0,10
2019-04-18,32,17,晴,东北风,5级,24.5,15
2019-04-19,27,13,多云,东北风,6级,20.0,14
2019-04-20,15,11,阴,西南风,3级,13.0,4
2019-04-21,19,14,阴,东北风,2级,16.5,5
2019-04-22,23,15,多云,东北风,3级,19.0,8
2019-04-23,25,14,晴,西南风,2级,19.5,11
2019-04-24,28,15,晴,西北风,3级,21.5,13
2019-04-25,30,16,晴,东北风,4级,23.0,14
2019-04-26,19,11,多云,东北风,6级,15.0,8
2019-04-27,12,10,阴,东南风,5级,11.0,2
2019-04-28,11,9,阴,西南风,1级,10.0,2
2019-04-29,23,14,阴,西北风,2级,18.5,9
2019-04-30,24,13,阴,东北风,1级,18.5,11
2019-03-01,12,5,阴,东南风,2级,8.5,7
2019-03-03,13,3,雾,东北风,2级,8.0,10
2019-03-04,13,3,阴,西南风,2级,8.0,10
2019-03-06,17,8,多云,东北风,2级,12.5,9
2019-03-07,14,4,阴,东北风,3级,9.0,10
2019-03-08,12,3,阴,东北风,1级,7.5,9
2019-03-09,19,3,阴,东北风,1级,11.0,16
2019-03-10,12,0,阴,西南风,2级,6.0,12
2019-03-11,17,2,多云,西南风,2级,9.5,15
2019-03-15,20,5,阴,东北风,3级,12.5,15
2019-03-16,22,6,阴,北风,1级,14.0,16
2019-03-17,21,9,阴,西南风,2级,15.0,12
2019-03-18,24,10,晴,东南风,2级,17.0,14
2019-03-19,22,11,阴,东南风,3级,16.5,11
2019-03-20,25,8,多云,西北风,3级,16.5,17
2019-03-21,11,4,浮尘,东南风,2级,7.5,7
2019-03-22,14,3,阴,西北风,2级,8.5,11
2019-03-23,18,5,阴,东北风,3级,11.5,13
2019-03-24,19,5,阴,西北风,2级,12.0,14
2019-03-25,23,8,晴,西北风,1级,15.5,15
2019-03-26,24,12,多云,东北风,2级,18.0,12
2019-03-27,21,9,阴,西南风,2级,15.0,12
2019-03-28,26,9,晴,东南风,2级,17.5,17
2019-03-29,24,6,阴,南风,微风,15.0,18
2019-03-30,19,6,多云,东北风,1级,12.5,13
2019-03-31,20,7,阴,东北风,1级,13.5,13
2019-02-02,11,0,多云,西北风,3级,5.5,11
2019-02-03,11,-3,阴,西南风,2级,4.0,14
2019-02-04,13,0,阴,西北风,微风,6.5,13
2019-02-06,13,1,阴,东南风,1级,7.0,12
2019-02-07,5,-1,阴,东北风,3级,2.0,6
2019-02-08,0,-3,阴,东北风,1级,-1.5,3
2019-02-09,0,-4,阴,东北风,3级,-2.0,4
2019-02-10,1,-6,阴,西北风,1级,-2.5,7
2019-02-11,1,-4,多云,西北风,1级,-1.5,5
2019-02-12,7,-1,阴,东北风,2级,3.0,8
2019-02-13,2,-2,阴,东北风,4级,0.0,4
2019-02-14,4,-3,阴,东北风,2级,0.5,7
2019-02-15,7,-3,多云,东北风,2级,2.0,10
2019-02-17,2,-1,阴,西南风,1级,0.5,3
2019-02-18,1,-3,阴,东北风,2级,-1.0,4
2019-02-19,6,-1,多云,东南风,1级,2.5,7
2019-02-20,8,1,阴,西南风,1级,4.5,7
2019-02-21,6,-2,阴,西南风,3级,2.0,8
2019-02-22,8,-1,多云,西南风,2级,3.5,9
2019-02-23,11,0,阴,东北风,1级,5.5,11
2019-02-24,12,2,阴,西南风,1级,7.0,10
2019-02-26,5,4,阴,东北风,1级,4.5,1
2019-02-28,10,5,多云,东北风,2级,7.5,5
2019-01-01,1,-7,多云,东北风,1级,-3.0,8
2019-01-02,1,-7,多云,西南风,1级,-3.0,8
2019-01-03,1,-3,多云,西南风,3级,-1.0,4
2019-01-05,3,-5,多云,东北风,2级,-1.0,8
2019-01-07,7,-5,多云,西南风,2级,1.0,12
2019-01-08,3,-2,阴,东北风,2级,0.5,5
2019-01-09,1,-6,阴,东北风,3级,-2.5,7
2019-01-10,1,-4,阴,西南风,2级,-1.5,5
2019-01-11,5,-6,雾,西北风,1级,-0.5,11
2019-01-12,6,-5,多云,东北风,1级,0.5,11
2019-01-13,4,-4,阴,西北风,1级,0.0,8
2019-01-14,5,-5,多云,西南风,2级,0.0,10
2019-01-15,4,-7,阴,东北风,2级,-1.5,11
2019-01-16,1,-6,晴,西南风,3级,-2.5,7
2019-01-17,5,-6,晴,西北风,1级,-0.5,11
2019-01-18,4,-4,多云,东南风,1级,0.0,8
2019-01-19,9,-5,多云,西南风,2级,2.0,14
2019-01-20,6,-6,阴,西南风,2级,0.0,12
2019-01-21,7,-5,晴,西南风,3级,1.0,12
2019-01-22,12,-4,晴,东北风,微风,4.0,16
2019-01-23,9,-5,晴,西北风,1级,2.0,14
2019-01-24,4,0,多云,西南风,1级,2.0,4
2019-01-25,9,-2,多云,东北风,3级,3.5,11
2019-01-26,6,0,阴,东北风,3级,3.0,6
2019-01-27,5,-2,阴,西南风,2级,1.5,7
2019-01-29,10,1,多云,东南风,2级,5.5,9
2019-01-30,4,-1,雨夹雪,东北风,2级,1.5,5
2019-01-31,5,-7,阴,东南风,2级,-1.0,12
2018-12-01,14,2,霾,西南风,2级,8.0,12
2018-12-02,11,3,霾,西南风,4级,7.0,8
2018-12-03,9,-1,霾,西南风,2级,4.0,10
2018-12-04,7,0,多云,东北风,2级,3.5,7
2018-12-05,5,-1,小雨,西南风,2级,2.0,6
2018-12-06,6,-2,多云,东北风,2级,2.0,8
2018-12-07,2,-3,小雪,东北风,2级,-0.5,5
2018-12-09,2,-4,多云,东北风,2级,-1.0,6
2018-12-10,2,-4,阴,西南风,2级,-1.0,6
2018-12-11,2,-5,多云,西北风,1级,-1.5,7
2018-12-12,3,-5,晴,东北风,1级,-1.0,8
2018-12-13,4,-5,霾,东北风,2级,-0.5,9
2018-12-14,4,-4,晴,东北风,2级,0.0,8
2018-12-15,8,-2,霾,西南风,3级,3.0,10
2018-12-16,11,-2,晴,西南风,2级,4.5,13
2018-12-17,9,-1,晴,东南风,2级,4.0,10
2018-12-18,10,-2,霾,东南风,1级,4.0,12
2018-12-21,6,0,阴,西北风,1级,3.0,6
2018-12-22,7,-3,阴,西南风,2级,2.0,10
2018-12-23,2,-2,多云,东北风,2级,0.0,4
2018-12-24,4,-1,阴,西北风,1级,1.5,5
2018-12-25,6,-1,阴,西南风,2级,2.5,7
2018-12-28,-2,-5,阴,西南风,2级,-3.5,3
2018-12-29,0,-7,多云,东北风,2级,-3.5,7
2018-12-30,0,-6,晴,东北风,2级,-3.0,6
2018-12-31,0,-6,晴,西南风,2级,-3.0,6
2018-11-01,22,6,晴,东北风,微风,14.0,16
2018-11-03,18,8,多云,南风,2级,13.0,10
2018-11-04,13,6,阴,东南风,1级,9.5,7
2018-11-05,10,6,小雨,南风,1级,8.0,4
2018-11-08,16,1,晴,东南风,1级,8.5,15
2018-11-09,16,4,晴,东北风,2级,10.0,12
2018-11-11,15,2,多云,东南风,1级,8.5,13
2018-11-12,14,3,多云,东北风,2级,8.5,11
2018-11-13,13,4,晴,东北风,2级,8.5,9
2018-11-14,10,5,小雨,西南风,2级,7.5,5
2018-11-15,10,5,小雨,西南风,2级,7.5,5
2018-11-16,5,1,小雨,西北风,2级,3.0,4
2018-11-17,7,1,阴,西南风,3级,4.0,6
2018-11-18,10,0,多云,东南风,1级,5.0,10
2018-11-19,12,0,多云,东北风,1级,6.0,12
2018-11-20,9,1,多云,西南风,2级,5.0,8
2018-11-21,9,-2,晴,东南风,2级,3.5,11
2018-11-22,12,0,多云,东南风,2级,6.0,12
2018-11-23,15,0,晴,东南风,2级,7.5,15
2018-11-24,14,3,多云,西南风,2级,8.5,11
2018-11-25,15,0,晴,东南风,1级,7.5,15
2018-11-26,15,0,多云,西南风,2级,7.5,15
2018-11-27,14,3,多云,东南风,1级,8.5,11
2018-11-28,14,0,多云,东南风,1级,7.0,14
2018-11-29,14,3,霾,东北风,2级,8.5,11
2018-11-30,11,3,霾,西南风,2级,7.0,8
2018-10-01,23,11,晴,东南风,1级,17.0,12
2018-10-02,23,9,晴,东南风,1级,16.0,14
2018-10-03,25,9,晴,东南风,1级,17.0,16
2018-10-04,25,11,晴,南风,微风,18.0,14
2018-10-05,25,11,晴,东北风,1级,18.0,14
2018-10-06,21,11,阴,西北风,1级,16.0,10
2018-10-08,19,9,小雨,西南风,1级,14.0,10
2018-10-09,21,10,多云,东南风,1级,15.5,11
2018-10-10,21,7,晴,南风,1级,14.0,14
2018-10-11,20,8,阴,北风,2级,14.0,12
2018-10-12,22,13,多云,西北风,1级,17.5,9
2018-10-13,19,11,小雨,东南风,1级,15.0,8
2018-10-14,18,10,阴,北风,1级,14.0,8
2018-10-16,22,10,多云,南风,1级,16.0,12
2018-10-17,20,11,多云,东南风,1级,15.5,9
2018-10-18,22,13,阴,东南风,1级,17.5,9
2018-10-19,17,10,阴,西风,微风,13.5,7
2018-10-20,16,10,阴,东南风,1级,13.0,6
2018-10-21,16,8,小雨,东南风,微风,12.0,8
2018-10-22,20,7,多云,东风,1级,13.5,13
2018-10-23,21,7,晴,东北风,微风,14.0,14
2018-10-24,20,12,多云,北风,1级,16.0,8
2018-10-25,21,10,晴,北风,微风,15.5,11
2018-10-26,19,5,晴,东风,微风,12.0,14
2018-10-27,20,4,晴,东北风,微风,12.0,16
2018-10-28,21,5,晴,南风,微风,13.0,16
2018-10-29,22,7,晴,东南风,1级,14.5,15
2018-09-01,35,24,多云,西南风,1级,29.5,11
2018-09-02,31,23,多云,西南风,1级,27.0,8
2018-09-04,31,19,多云,南风,3级,25.0,12
2018-09-05,23,19,小雨,西北风,1级,21.0,4
2018-09-06,27,17,多云,东风,1级,22.0,10
2018-09-11,29,20,晴,南风,1级,24.5,9
2018-09-13,24,18,阵雨,东风,1级,21.0,6
2018-09-14,22,15,小雨,南风,1级,18.5,7
2018-09-16,20,14,小雨,东风,1级,17.0,6
2018-09-17,25,14,多云,西南风,1级,19.5,11
2018-09-19,20,16,小雨,南风,1级,18.0,4
2018-09-20,23,13,阴,南风,1级,18.0,10
2018-09-21,26,11,多云,东风,微风,18.5,15
2018-09-22,26,14,晴,西南风,微风,20.0,12
2018-09-23,25,15,多云,北风,微风,20.0,10
2018-09-25,19,15,小雨,东北风,1级,17.0,4
2018-09-27,17,8,小雨,西南风,1级,12.5,9
2018-09-28,25,10,晴,西南风,1级,17.5,15
2018-09-30,23,11,多云,东风,1级,17.0,12
2018-08-01,37,26,多云,南风,微风,31.5,11
2018-08-02,36,25,阵雨,南风,1级,30.5,11
2018-08-04,38,25,晴,南风,1级,31.5,13
2018-08-05,39,26,晴,西风,1级,32.5,13
2018-08-06,37,26,多云,南风,1级,31.5,11
2018-08-07,39,26,小雨,南风,2级,32.5,13
2018-08-09,38,26,多云,东南风,2级,32.0,12
2018-08-10,38,25,阵雨,南风,1级,31.5,13
2018-08-11,37,24,阴,南风,1级,30.5,13
2018-08-12,36,26,多云,东南风,1级,31.0,10
2018-08-13,37,25,多云,东南风,2级,31.0,12
2018-08-16,33,22,小雨,西风,2级,27.5,11
2018-08-17,32,23,阵雨,南风,1级,27.5,9
2018-08-18,34,23,多云,东南风,1级,28.5,11
2018-08-19,35,23,晴,东风,1级,29.0,12
2018-08-21,35,24,多云,东风,2级,29.5,11
2018-08-22,28,22,阴,东风,1级,25.0,6
2018-08-23,31,20,多云,西风,微风,25.5,11
2018-08-24,32,22,晴,西风,1级,27.0,10
2018-08-26,34,25,晴,南风,1级,29.5,9
2018-08-28,34,23,多云,南风,微风,28.5,11
2018-08-29,35,24,晴,北风,微风,29.5,11
2018-08-30,35,24,多云,东南风,1级,29.5,11
2018-08-31,35,25,多云,东风,1级,30.0,10
2018-07-01,34,23,阴,西风,1级,28.5,11
2018-07-02,28,21,大雨,南风,1级,24.5,7
2018-07-03,26,21,中雨,西南风,1级,23.5,5
2018-07-04,23,20,中雨,西风,1级,21.5,3
2018-07-05,30,21,多云,北风,微风,25.5,9
2018-07-06,33,22,多云,西北风,微风,27.5,11
2018-07-07,33,23,多云,西南风,微风,28.0,10
